position_id,owner,symbol,side,volume,open_magic,all_magic,open_time,close_time,open_price,close_price,pnl,result,is_closed,comments
334809829,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-06 14:03:53,2026-06-06 14:10:52,60739.9,60598.9,-1.41,LOSS,True,HERMES_DEMO_KELL | [sl 60611.49]
334914404,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-06 22:39:40,2026-06-06 22:47:46,60666.7,60552.5,-1.1400000000000001,LOSS,True,HERMES_DEMO_KELL | [sl 60558.28]
334916660,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-06 22:57:59,2026-06-06 23:06:41,60677.8,60700.2,0.22,WIN,True,HERMES_DEMO_KELL | [tp 60696.25]
334920931,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-06 23:34:34,2026-06-06 23:35:38,60603.7,60557.4,-0.46,LOSS,True,HERMES_DEMO_KELL | [sl 60560.28]
334921486,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-06 23:38:10,2026-06-06 23:45:36,60614.7,60655.7,-0.41,LOSS,True,HERMES_DEMO_KELL | [sl 60654.81]
334923957,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 00:05:55,2026-06-07 00:18:10,60523.9,60627.6,-1.04,LOSS,True,HERMES_DEMO_KELL | [sl 60626.61]
334925747,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 00:26:09,2026-06-07 00:48:35,60642.2,60636.2,-0.06,LOSS,True,HERMES_DEMO_KELL | [sl 60652.20]
334927673,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 00:52:17,2026-06-07 01:16:21,60707.5,60874.9,1.42,WIN,True,HERMES_DEMO_KELL | HERMES_QUICK_EXI
334930873,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 01:37:36,2026-06-07 01:45:58,60858.8,60776.1,0.83,WIN,True,HERMES_DEMO_KELL | [tp 60777.70]
334931712,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 01:49:59,2026-06-07 01:57:25,60869.5,60749.4,-1.2,LOSS,True,HERMES_DEMO_KELL | [sl 60754.07]
334933514,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 02:11:06,2026-06-07 02:11:57,60622.4,60683.9,-0.62,LOSS,True,HERMES_DEMO_KELL | [sl 60683.70]
334934289,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 02:20:29,2026-06-07 02:21:52,60743.7,60624.2,-1.2,LOSS,True,HERMES_DEMO_KELL | [sl 60624.31]
334934570,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 02:24:33,2026-06-07 02:33:05,60535.3,60528.4,0.07,WIN,True,HERMES_DEMO_KELL | [sl 60525.30]
334935914,HERMES,BTCUSD#,BUY,0.01,909002,"0,909002",2026-06-07 02:46:55,2026-06-07 02:55:06,60620.2,60702.3,0.82,WIN,True,HERMES_DEMO_KELL
334936717,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 02:59:47,2026-06-07 03:03:19,60600.3,60717.6,-1.17,LOSS,True,HERMES_DEMO_KELL | [sl 60711.77]
334937389,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 03:03:55,2026-06-07 03:41:05,60721.1,60857.6,1.37,WIN,True,HERMES_DEMO_KELL | [tp 60856.70]
334940402,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 03:42:29,2026-06-07 03:46:30,60904.9,60822.2,-0.83,LOSS,True,HERMES_DEMO_KELL | [sl 60829.21]
