atr_percentile,be_armed,close_mode,direction,dxy_trend,ees_buy_band,ees_buy_score,ees_sell_band,ees_sell_score,entry_price,exit_price,geo,grade,kill_zone_active,killswitch_daily_pnl_at_decision,killswitch_pnl_recalibrated,miners_available,momentum_alignment,momentum_consensus,mtfa,of,r_multiple,real_pnl_mt5,reason,risk_usd,row_kind,score,session,sl,smc,strategy,symbol,ticket,tp,trailing_active,ts_broker,ts_utc
42.9,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),BUY,DOWN,SAIN,17.7,,,4078.72,4078.55,45.04,C,False,,,False,ALIGNED,BULL,50.0,85.0,-0.01,-0.17,,19.03,EXECUTE,59.26,ASIA_MAIN,4059.69,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377875012,4103.17,True,2026-07-09 03:00:19.325366+00:00,2026-07-09 00:00:19.325366+00:00
45.3,False,BROKER_SL,SELL,DOWN,SAIN,10.5,SAIN,37.3,62156.3,62275.3,45.33,C,False,,,False,ALIGNED,BEAR,50.0,100.0,-0.26,-1.19,,4.56,EXECUTE,63.83,ASIA_MAIN,62612.44,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,377898337,61474.34,False,2026-07-09 03:22:55.536518+00:00,2026-07-09 00:22:55.536518+00:00
46.0,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),SELL,DOWN,,,SAIN,27.7,4076.99,4077.53,41.43,C,False,,,False,ALIGNED,BEAR,50.0,88.0,-0.01,-0.54,,59.99,EXECUTE,59.26,ASIA_MAIN,4136.98,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377899399,3986.3,True,2026-07-09 03:23:24.793331+00:00,2026-07-09 00:23:24.793331+00:00
46.0,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),SELL,DOWN,,,,,4077.36,4074.32,51.9,C,False,,,False,ALIGNED,BEAR,50.0,90.0,0.05,3.04,,62.68,EXECUTE,62.48,ASIA_MAIN,4140.04,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377903969,3990.61,True,2026-07-09 03:29:30.420678+00:00,2026-07-09 00:29:30.420678+00:00
45.3,False,BROKER_SL,BUY,DOWN,SAIN,13.8,SAIN,23.2,62215.1,62083.1,62.68,B,False,,,False,ALIGNED,BULL,50.0,95.0,-0.18,-1.32,,7.23,EXECUTE,66.67,ASIA_MAIN,61492.13,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,377907782,63304.81,False,2026-07-09 03:33:37.589369+00:00,2026-07-09 00:33:37.589369+00:00
45.3,False,BROKER_SL,SELL,DOWN,SAIN,3.4,SAIN,21.6,62088.4,62244.85,48.46,C,False,,,False,ALIGNED,BEAR,55.0,95.0,-0.32,-1.56,,4.87,EXECUTE,64.12,ASIA_MAIN,62575.49,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,377921617,61358.27,False,2026-07-09 03:52:45.855201+00:00,2026-07-09 00:52:45.855201+00:00
46.3,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),BUY,DOWN,SAIN,26.4,,,4075.15,4077.11,41.65,C,False,,,False,ALIGNED,BULL,50.0,100.0,0.03,1.96,,58.78,EXECUTE,62.91,ASIA_MAIN,4016.37,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377989564,4158.8,True,2026-07-09 05:06:29.990370+00:00,2026-07-09 02:06:29.990370+00:00
46.3,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),BUY,DOWN,SAIN,34.1,,,4077.62,4079.73,37.56,C,False,,,False,ALIGNED,BULL,50.0,100.0,0.04,2.11,,59.04,EXECUTE,61.89,ASIA_MAIN,4018.58,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,377995062,4164.91,True,2026-07-09 05:12:39.215443+00:00,2026-07-09 02:12:39.215443+00:00
48.4,False,POSITION_ENCORE_OUVERTE,BUY,DOWN,SAIN,30.4,,,4080.87,,40.63,C,False,,,False,ALIGNED,BULL,50.0,100.0,0.0,0.0,,62.3,EXECUTE,62.66,ASIA_MAIN,4018.57,50.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,378004624,4171.61,False,2026-07-09 05:25:12.362419+00:00,2026-07-09 02:25:12.362419+00:00
50.2,True,EXIT_V2 (EXIT_V2_TRAIL_FLOOR),SELL,UP,SAIN,5.0,PRUDENCE,40.0,61841.6,61781.4,52.32,B,False,,,False,ALIGNED,BEAR,50.0,100.0,0.11,0.6,,5.5,EXECUTE,68.08,ASIA_MAIN,62391.13,60.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,378023979,61017.3,False,2026-07-09 05:44:30.437145+00:00,2026-07-09 02:44:30.437145+00:00
,,,SELL,,,,,,,,,,,,,,,,,,,,failed_gate=GOLD_ANALYSIS_ONLY,,REFUSE,67.5,ASIA_MAIN,,,GOLD_LIQUIDITY_HUNTER_PRO,GOLD#,,,,2026-07-08 07:20:41.789627+00:00,2026-07-08 04:20:41.789627+00:00
,,,SELL,,,,,,,,,,,,,,,,,,,,failed_gate=GOLD_ANALYSIS_ONLY,,REFUSE,67.5,ASIA_MAIN,,,GOLD_LIQUIDITY_HUNTER_PRO,GOLD#,,,,2026-07-08 07:30:18.251122+00:00,2026-07-08 04:30:18.251122+00:00
,,,BUY,,SAIN,38.1,,,,,,A,,,,,,,,,,,failed_gate=MAX_OPEN_TRADES_PER_SYMBOL,,REFUSE,65.83,ASIA_MAIN,,,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 07:36:05.772742+00:00,2026-07-08 04:36:05.772742+00:00
