time,open,high,low,close,tick_volume,spread,real_volume
2026-03-02 03:35:00+00:00,5325.79,5334.89,5322.9,5334.63,2112,23,0
2026-03-02 03:40:00+00:00,5334.65,5338.96,5328.06,5333.74,2038,25,0
2026-03-02 03:45:00+00:00,5333.67,5338.09,5327.25,5331.02,1873,26,0
2026-03-02 03:50:00+00:00,5331.04,5337.29,5326.37,5337.29,1622,20,0
2026-03-02 03:55:00+00:00,5337.3,5337.6,5322.12,5324.99,1692,22,0
2026-03-02 04:00:00+00:00,5324.93,5331.7,5319.97,5323.41,2001,25,0
2026-03-02 04:05:00+00:00,5323.44,5329.05,5317.04,5327.67,2019,21,0
2026-03-02 04:10:00+00:00,5327.64,5335.63,5323.41,5328.27,1659,22,0
2026-03-02 04:15:00+00:00,5328.08,5334.42,5326.3,5327.37,1647,21,0
2026-03-02 04:20:00+00:00,5327.43,5336.26,5326.25,5332.87,1497,24,0
2026-03-02 04:25:00+00:00,5332.84,5333.32,5326.25,5331.52,1230,23,0
2026-03-02 04:30:00+00:00,5331.41,5334.6,5328.6,5334.52,1678,24,0
2026-03-02 04:35:00+00:00,5334.51,5342.35,5332.19,5338.87,1778,20,0
2026-03-02 04:40:00+00:00,5338.89,5351.69,5338.18,5351.18,1908,21,0
2026-03-02 04:45:00+00:00,5351.15,5351.84,5343.28,5346.03,1655,21,0
2026-03-02 04:50:00+00:00,5346.02,5347.83,5340.97,5344.8,1413,21,0
2026-03-02 04:55:00+00:00,5344.82,5348.89,5342.85,5346.36,1510,24,0
2026-03-02 05:00:00+00:00,5346.66,5355.25,5344.52,5353.0,1596,22,0
2026-03-02 05:05:00+00:00,5353.02,5356.08,5351.31,5352.23,1387,24,0
2026-03-02 05:10:00+00:00,5352.25,5357.51,5349.66,5355.12,1510,20,0
2026-03-02 05:15:00+00:00,5355.1,5358.97,5349.89,5358.75,1527,22,0
2026-03-02 05:20:00+00:00,5358.71,5359.51,5354.43,5356.92,1304,21,0
2026-03-02 05:25:00+00:00,5356.93,5359.03,5354.51,5355.63,1329,18,0
2026-03-02 05:30:00+00:00,5355.62,5360.32,5353.81,5358.6,1208,21,0
2026-03-02 05:35:00+00:00,5358.58,5364.8,5357.82,5363.86,1025,18,0
2026-03-02 05:40:00+00:00,5363.87,5364.25,5358.86,5362.08,1065,23,0
2026-03-02 05:45:00+00:00,5362.12,5364.41,5359.66,5362.47,879,22,0
2026-03-02 05:50:00+00:00,5362.45,5363.8,5360.55,5363.42,722,21,0
2026-03-02 05:55:00+00:00,5363.43,5366.66,5362.4,5366.35,970,22,0
2026-03-02 06:00:00+00:00,5366.29,5367.1,5360.2,5360.23,985,23,0
2026-03-02 06:05:00+00:00,5360.21,5363.61,5355.7,5357.27,1171,21,0
2026-03-02 06:10:00+00:00,5357.26,5362.67,5355.97,5355.97,784,20,0
2026-03-02 06:15:00+00:00,5356.55,5365.07,5355.79,5364.67,855,18,0
