BIG_SETUP_GRADE_INCONSISTENT,EMA_ENTRY_NOT_ALLOWED,GENERIC_WAIT_REASON,LEGACY_ENTRY_NOT_ALLOWED,LOT_VALID_FALSE_BUT_APPROVED,M1_REQUIRED_BUT_EMPTY,RR_MISSING,SIGNAL_WITH_MISSING_CONTEXT,SIGNAL_WITH_MTFA_FAIL,SIGNAL_WITH_NO_M15_CONFIRMATION,SIGNAL_WITH_NO_M1_CONFIRMATION,SIGNAL_WITH_SMC_FAIL,approved,big_setup_grade,big_setup_score,blocked_reason,bug_flags,confidence,demo_ready,entry,h1_bars,h4_bars,lot_valid,m15_bars,m1_bars,m5_bars,missing_context,mtfa_reason,mtfa_status,reason,risk_reward,safety_guard_reason,safety_guard_status,score,signal,sl,smc_confluence_reason,smc_confluence_status,smc_m15_confirmation,smc_m1_entry_confirmation,strategy,strategy_status,symbol,timestamp,tp
False,False,True,False,False,True,False,False,False,False,False,False,True,C,42,FIB_OTE_CONDITIONS_NOT_MET,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.65,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,FIB_OTE_CONDITIONS_NOT_MET,1.8,SAFETY_GUARD_PASS,PASS,40.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,FIB_OTE_RETEST,ACTIVE,GOLD#,2026-06-01T16:58:27.651761+00:00,
False,True,False,False,False,True,False,False,True,True,True,True,False,C,42,EMA_PULLBACK_CONFIRMATION_ONLY,"EMA_ENTRY_NOT_ALLOWED,SIGNAL_WITH_MTFA_FAIL,SIGNAL_WITH_SMC_FAIL,SIGNAL_WITH_NO_M15_CONFIRMATION,SIGNAL_WITH_NO_M1_CONFIRMATION,M1_REQUIRED_BUT_EMPTY",0.74,False,4496.56,500,500,,500,0,500,,"H1_BIAS_MISMATCH,NO_M15_LIQUIDITY,NO_M5_CISD",FAIL,Bearish EMA pullback,1.8,EMA_PULLBACK_LOW_SMC_SCORE,BLOCK,74.0,SELL,4504.685714285715,MISSING_DATA:M1,FAIL,False,False,EMA_PULLBACK,CONFIRMATION_ONLY,GOLD#,2026-06-01T16:58:27.694219+00:00,4483.017142857143
False,False,False,False,False,True,False,False,False,False,False,False,True,C,42,SECOND_ENTRY_OBSERVER_ONLY,M1_REQUIRED_BUT_EMPTY,0.4,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,SECOND_ENTRY_OBSERVER_ONLY,1.8,SAFETY_GUARD_PASS,PASS,40.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,SECOND_ENTRY,LEGACY_OBSERVER,GOLD#,2026-06-01T16:58:27.736611+00:00,
False,False,False,False,False,True,False,False,False,False,False,False,True,C,42,SCALPING_AGENT_OBSERVER_ONLY,M1_REQUIRED_BUT_EMPTY,0.35,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,SCALPING_AGENT_OBSERVER_ONLY,1.8,SAFETY_GUARD_PASS,PASS,35.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,SCALPING_AGENT,LEGACY_OBSERVER,GOLD#,2026-06-01T16:58:27.776099+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,47,,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.42,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,No breakout retest,1.8,SAFETY_GUARD_PASS,PASS,42.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,BREAKOUT_RETEST,ACTIVE,EURUSD,2026-06-01T16:58:27.822684+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,47,CRT_TBS_CONDITIONS_NOT_MET,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.65,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,CRT_TBS_CONDITIONS_NOT_MET,1.8,SAFETY_GUARD_PASS,PASS,40.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,CRT_TBS_REVERSAL,ACTIVE,EURUSD,2026-06-01T16:58:27.849424+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,47,AMD_FVG_IFVG_CONDITIONS_NOT_MET,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.675,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,AMD_FVG_IFVG_CONDITIONS_NOT_MET,1.8,SAFETY_GUARD_PASS,PASS,45.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,AMD_FVG_IFVG_REVERSAL,ACTIVE,EURUSD,2026-06-01T16:58:27.879453+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,True,C,47,FIB_OTE_CONDITIONS_NOT_MET,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.65,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,FIB_OTE_CONDITIONS_NOT_MET,1.8,SAFETY_GUARD_PASS,PASS,40.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,FIB_OTE_RETEST,ACTIVE,EURUSD,2026-06-01T16:58:27.904968+00:00,
False,False,True,False,False,True,False,False,False,False,False,False,False,C,37,,"GENERIC_WAIT_REASON,M1_REQUIRED_BUT_EMPTY",0.45,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,No EMA pullback setup,1.8,EMA_PULLBACK_LOW_SMC_SCORE,BLOCK,45.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,EMA_PULLBACK,CONFIRMATION_ONLY,EURUSD,2026-06-01T16:58:27.939503+00:00,
False,False,False,False,False,True,False,False,False,False,False,False,True,C,47,SECOND_ENTRY_OBSERVER_ONLY,M1_REQUIRED_BUT_EMPTY,0.4,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,SECOND_ENTRY_OBSERVER_ONLY,1.8,SAFETY_GUARD_PASS,PASS,40.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,SECOND_ENTRY,LEGACY_OBSERVER,EURUSD,2026-06-01T16:58:27.975535+00:00,
False,False,False,False,False,True,False,False,False,False,False,False,True,C,47,SCALPING_AGENT_OBSERVER_ONLY,M1_REQUIRED_BUT_EMPTY,0.35,False,,500,500,,500,0,500,,NO_TRADE_DIRECTION,NOT_APPLICABLE,SCALPING_AGENT_OBSERVER_ONLY,1.8,SAFETY_GUARD_PASS,PASS,35.0,WAIT,,MISSING_DATA:M1,NOT_APPLICABLE,False,False,SCALPING_AGENT,LEGACY_OBSERVER,EURUSD,2026-06-01T16:58:28.009347+00:00,
