BAD_HOUR_BLOCK,BIG_SETUP_GRADE_INCONSISTENT,DEMO_REQUIRES_M1_CONFIRMATION,EMA_ENTRY_NOT_ALLOWED,GENERIC_WAIT_REASON,LEGACY_ENTRY_NOT_ALLOWED,LOT_VALID_FALSE_BUT_APPROVED,M1_NOT_REQUESTED_FOR_AUDIT,M1_REQUIRED_BUT_EMPTY,MARKET_CLOSED,MISSING_REQUIRED_TIMEFRAME,RR_MISSING,RR_MISSING_BEFORE_BIG_SETUP,SCORE_COMPONENTS_MISSING,SESSION_UNKNOWN,SIGNAL_WITH_MISSING_CONTEXT,SIGNAL_WITH_MTFA_FAIL,SIGNAL_WITH_NO_M15_CONFIRMATION,SIGNAL_WITH_NO_M1_CONFIRMATION,SIGNAL_WITH_RR_MISSING,SIGNAL_WITH_SMC_FAIL,TIMEZONE_UNKNOWN,TIME_GATE_MISSING,WEEKEND_BLOCK,blocked_reasons,broker_hour,broker_time_estimate,broker_utc_offset_hours,casablanca_time,confidence,demo_eligible_candidate,direction,eligible_before_safety,evaluated,is_bad_hour,is_news_blackout,is_weekend,local_hour,lot_valid,math_status,missing_timeframe_context,precise_reason,required_timeframes,rows_H1,rows_H4,rows_M1,rows_M15,rows_M5,rr_present,score,score_components,session,session_name,signal,spread_status,strategy,symbol,symbol_market_open,time_gate_reason,time_gate_status,timestamp,utc_hour,utc_time,weekday
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:13.336369+01:00,0.42,False,WAIT,False,True,False,unknown,False,19,True,INVALID_OR_WAIT,,NO_BREAKOUT_LEVEL,"M5,M15,M1_CONFIRMATION",500,500,0,500,500,True,44.0,"{""breakout_close_beyond_level"": false, ""m15_confirmation_required"": true, ""m1_confirmation_required"": true, ""math_status"": ""INVALID_OR_WAIT"", ""not_mid_range_random_movement"": false, ""rejection_candle"": true, ""retest_of_broken_level"": false, ""rr_meets_min"": true, ""score_components_present"": true, ""structure_high_selected"": true, ""structure_low_selected"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,BREAKOUT_RETEST,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:14.123556+00:00,18,2026-06-01T18:52:13.336369+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:13.336369+01:00,0.65,False,WAIT,False,True,False,unknown,False,19,True,INVALID_OR_WAIT,,NO_SWEEP,"M5,H4_OR_D1,M15,M1_CONFIRMATION",500,500,0,500,500,True,40.0,"{""cisd_or_mss_confirmation"": true, ""crt_high_selected"": true, ""crt_low_selected"": true, ""crt_mid_selected"": true, ""invalid_no_confirmation"": false, ""invalid_no_sweep"": true, ""liquidity_sweep"": false, ""math_status"": ""INVALID_OR_WAIT"", ""premium_discount_zone"": ""DISCOUNT"", ""return_inside_range"": true, ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,CRT_TBS_REVERSAL,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:14.901016+00:00,18,2026-06-01T18:52:13.336369+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:13.336369+01:00,0.675,False,WAIT,False,True,False,unknown,False,19,True,INVALID_OR_WAIT,,NO_SWEEP,"M5,M15,H1,M1_CONFIRMATION",500,500,0,500,500,True,45.0,"{""accumulation_or_range"": false, ""displacement"": false, ""fvg"": true, ""ifvg_if_applicable"": true, ""invalid_only_fvg"": true, ""manipulation_sweep"": false, ""math_status"": ""INVALID_OR_WAIT"", ""ob_bpr_context"": true, ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,AMD_FVG_IFVG_REVERSAL,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:15.711805+00:00,18,2026-06-01T18:52:13.336369+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:13.336369+01:00,0.65,False,WAIT,False,True,False,unknown,False,19,True,INVALID_OR_WAIT,,NO_OTE_ZONE,"M5,H4,M15,M1_CONFIRMATION",500,500,0,500,500,True,40.0,"{""cisd_mss_confirmation"": true, ""fib_618"": 73197.966, ""fib_705"": null, ""fib_786"": 72926.982, ""impulse_direction"": ""BUY"", ""invalid_only_ote_touch"": false, ""key_level_ob_fvg_bpr_context"": true, ""math_status"": ""INVALID_OR_WAIT"", ""price_inside_ote"": false, ""score_components_present"": true, ""swing_high_low_selected"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,FIB_OTE_RETEST,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:16.493511+00:00,18,2026-06-01T18:52:13.336369+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:13.336369+01:00,0.74,False,WAIT,False,True,False,unknown,False,19,True,CONFIRMATION_ONLY,,EMA_CONFIRMATION_ONLY,M5,500,500,0,500,500,True,39.0,"{""math_status"": ""CONFIRMATION_ONLY"", ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,EMA_PULLBACK,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:17.247044+00:00,18,2026-06-01T18:52:13.336369+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:13.336369+01:00,0.4,False,WAIT,False,True,False,unknown,False,19,True,OBSERVER_ONLY,,SECOND_ENTRY_OBSERVER_ONLY,M5,500,500,0,500,500,True,44.0,"{""math_status"": ""OBSERVER_ONLY"", ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,SECOND_ENTRY,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:18.015059+00:00,18,2026-06-01T18:52:13.336369+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:13.336369+01:00,0.35,False,WAIT,False,True,False,unknown,False,19,True,OBSERVER_ONLY,,SCALPING_AGENT_OBSERVER_ONLY,M5,500,500,0,500,500,True,44.0,"{""math_status"": ""OBSERVER_ONLY"", ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,SCALPING_AGENT,BTCUSD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:18.782113+00:00,18,2026-06-01T18:52:13.336369+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:18.798381+01:00,0.42,False,WAIT,False,True,False,unknown,False,19,True,INVALID_OR_WAIT,,NO_BREAKOUT_LEVEL,"M5,M15,M1_CONFIRMATION",500,500,0,500,500,True,47.0,"{""breakout_close_beyond_level"": false, ""m15_confirmation_required"": true, ""m1_confirmation_required"": true, ""math_status"": ""INVALID_OR_WAIT"", ""not_mid_range_random_movement"": true, ""rejection_candle"": true, ""retest_of_broken_level"": false, ""rr_meets_min"": true, ""score_components_present"": true, ""structure_high_selected"": true, ""structure_low_selected"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,BREAKOUT_RETEST,GOLD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:20.155851+00:00,18,2026-06-01T18:52:18.798381+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:18.798381+01:00,0.65,False,WAIT,False,True,False,unknown,False,19,True,INVALID_OR_WAIT,,NO_CISD,"M5,H4_OR_D1,M15,M1_CONFIRMATION",500,500,0,500,500,True,40.0,"{""cisd_or_mss_confirmation"": false, ""crt_high_selected"": true, ""crt_low_selected"": true, ""crt_mid_selected"": true, ""invalid_no_confirmation"": true, ""invalid_no_sweep"": false, ""liquidity_sweep"": true, ""math_status"": ""INVALID_OR_WAIT"", ""premium_discount_zone"": ""DISCOUNT"", ""return_inside_range"": true, ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,CRT_TBS_REVERSAL,GOLD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:21.472834+00:00,18,2026-06-01T18:52:18.798381+00:00,MONDAY
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,13,2026-06-01T13:50:00+00:00,0.0,2026-06-01T19:52:18.798381+01:00,0.775,False,WAIT,False,True,False,unknown,False,19,True,INVALID_OR_WAIT,,NO_CISD,"M5,M15,H1,M1_CONFIRMATION",500,500,0,500,500,True,65.0,"{""accumulation_or_range"": false, ""displacement"": false, ""fvg"": true, ""ifvg_if_applicable"": true, ""invalid_only_fvg"": true, ""manipulation_sweep"": true, ""math_status"": ""INVALID_OR_WAIT"", ""ob_bpr_context"": true, ""score_components_present"": true}",OFF_HOURS,OFF_HOURS,WAIT,OK,AMD_FVG_IFVG_REVERSAL,GOLD#,True,TIME_GATE_PASS,PASS,2026-06-01T18:52:22.901728+00:00,18,2026-06-01T18:52:18.798381+00:00,MONDAY
