[2026-06-23T13:49:52.270746+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.487518+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:49:52.591306+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:49:52.645312+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.690401+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.726743+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.784341+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:49:52.889801+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.160658+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.270201+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:52:09.444449+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T13:52:09.536191+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.545112+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.560432+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.572428+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:52:09.578499+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-23T13:59:27.897375+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# BUY
[2026-06-23T18:24:20.717033+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T18:26:11.680146+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T18:27:52.339883+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T18:31:18.930233+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T18:37:36.961042+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T18:41:03.652524+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T18:41:19.024411+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T18:43:35.533074+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T18:44:05.867080+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T18:46:29.032952+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T18:46:59.513598+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T18:48:10.478308+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T19:13:51.707945+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T19:19:42.968892+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T19:35:47.517254+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T19:45:45.841960+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T19:55:14.294126+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T19:59:56.398644+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T20:00:26.746539+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T20:15:53.674514+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-23T20:33:55.339460+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T20:49:07.662352+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-23T20:53:48.824075+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T00:00:35.197739+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T00:02:20.409332+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# BUY
[2026-06-24T00:07:21.235663+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T00:09:31.626525+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T00:10:41.910253+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# BUY
[2026-06-24T00:15:28.181623+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T00:19:34.322721+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T00:26:56.725849+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-24T00:28:37.313172+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-24T00:38:46.505012+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T00:50:42.210635+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T00:51:27.603088+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-24T01:01:44.030828+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-24T01:02:14.105903+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-24T01:02:39.174526+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-24T01:03:34.355887+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-24T01:08:24.995712+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T01:12:55.808605+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T01:24:08.353774+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T01:30:55.180458+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
