bug_flag,demo_eligible_candidate,reason,session,signal,strategy,symbol,time_gate_status,timestamp
SIGNAL_WITH_SMC_FAIL,False,"Breakdown below 20-candle range; flags=SIGNAL_WITH_SMC_FAIL,SIGNAL_WITH_NO_M1_CONFIRMATION",OFF_HOURS,SELL,BREAKOUT_RETEST,EURUSD,PASS,2026-06-01T11:07:33.122817+00:00
SIGNAL_WITH_NO_M1_CONFIRMATION,False,"Breakdown below 20-candle range; flags=SIGNAL_WITH_SMC_FAIL,SIGNAL_WITH_NO_M1_CONFIRMATION",OFF_HOURS,SELL,BREAKOUT_RETEST,EURUSD,PASS,2026-06-01T11:07:33.122817+00:00
