big_setup_direction_bias,big_setup_grade,big_setup_is_discount,big_setup_is_premium,big_setup_missing_data,big_setup_reason,big_setup_risk_ok,big_setup_safety_ok,big_setup_score,big_setup_status,big_setup_tags,big_setup_time_ok,closed_at,day_of_week,direction,entry,entry_signal_time,exit_price,exit_reason,local_hour,opened_at,pnl_money,pnl_r,result,risk_reward,safety_guard_action,safety_guard_is_weekend,safety_guard_local_hour,safety_guard_reason,safety_guard_rules_triggered,safety_guard_status,safety_guard_timezone,session,signal_before_guard,sl,spread,strategy,symbol,tp
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T04:30:00+00:00,FRIDAY,SELL,4768.8,2026-04-17T04:25:00+00:00,4775.32928571,SL_HIT,5,2026-04-17T04:30:00+00:00,-50.0,-1.0,LOSS,1.926485,ALLOW_PAPER_OPEN,False,5,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,ASIA,SELL,4775.32928571,20.0,BREAKOUT_RETEST,GOLD#,4756.22142857
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T08:00:00+00:00,FRIDAY,BUY,4795.67,2026-04-17T06:05:00+00:00,4805.2914,TP_HIT,9,2026-04-17T06:10:00+00:00,83.726961,1.674539,WIN,1.674539,ALLOW_PAPER_OPEN,False,7,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,LONDON,BUY,4789.9243,20.0,BREAKOUT_RETEST,GOLD#,4805.2914
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T09:00:00+00:00,FRIDAY,BUY,4799.31,2026-04-17T07:35:00+00:00,4793.24068,SL_HIT,10,2026-04-17T07:40:00+00:00,-50.0,-1.0,LOSS,1.583149,ALLOW_PAPER_OPEN,False,8,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,LONDON,BUY,4793.24068,20.0,BREAKOUT_RETEST,GOLD#,4808.91864
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T08:55:00+00:00,FRIDAY,BUY,4800.97,2026-04-17T07:40:00+00:00,4794.66904,SL_HIT,9,2026-04-17T07:45:00+00:00,-50.0,-1.0,LOSS,1.522295,ALLOW_PAPER_OPEN,False,8,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,LONDON,BUY,4794.66904,20.0,BREAKOUT_RETEST,GOLD#,4810.56192
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T09:25:00+00:00,FRIDAY,SELL,4793.43,2026-04-17T09:00:00+00:00,4783.84314,TP_HIT,10,2026-04-17T09:05:00+00:00,94.29519,1.885904,WIN,1.885904,ALLOW_PAPER_OPEN,False,10,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,LONDON,SELL,4798.51343,20.0,BREAKOUT_RETEST,GOLD#,4783.84314
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T10:25:00+00:00,FRIDAY,SELL,4785.64,2026-04-17T09:15:00+00:00,4791.45565,SL_HIT,11,2026-04-17T09:20:00+00:00,-50.0,-1.0,LOSS,1.644064,ALLOW_PAPER_OPEN,False,10,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,SELL,4791.45565,20.0,BREAKOUT_RETEST,GOLD#,4776.0787
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T10:05:00+00:00,FRIDAY,SELL,4783.69,2026-04-17T09:25:00+00:00,4789.00374,SL_HIT,11,2026-04-17T09:30:00+00:00,-50.0,-1.0,LOSS,1.791108,ALLOW_PAPER_OPEN,False,10,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,SELL,4789.00374,20.0,BREAKOUT_RETEST,GOLD#,4774.17252
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T10:00:00+00:00,FRIDAY,SELL,4782.78,2026-04-17T09:30:00+00:00,4788.05272,SL_HIT,11,2026-04-17T09:35:00+00:00,-50.0,-1.0,LOSS,1.825517,ALLOW_PAPER_OPEN,False,10,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,SELL,4788.05272,20.0,BREAKOUT_RETEST,GOLD#,4773.15456
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T14:25:00+00:00,FRIDAY,SELL,4785.56,2026-04-17T13:35:00+00:00,4791.03557,SL_HIT,15,2026-04-17T13:40:00+00:00,-50.0,-1.0,LOSS,1.746145,ALLOW_PAPER_OPEN,False,14,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OVERLAP,SELL,4791.03557,20.0,BREAKOUT_RETEST,GOLD#,4775.99886
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-17T14:20:00+00:00,FRIDAY,SELL,4784.88,2026-04-17T13:40:00+00:00,4790.11489,SL_HIT,15,2026-04-17T13:45:00+00:00,-50.0,-1.0,LOSS,1.826166,ALLOW_PAPER_OPEN,False,14,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OVERLAP,SELL,4790.11489,20.0,BREAKOUT_RETEST,GOLD#,4775.32022
